,composer,song_name,year,era
178,Bach,goldberg_variations_988_09_(c)degiusti.mid,1741,Baroque
179,Bach,goldberg_variations_988_aria_(c)degiusti.mid,1741,Baroque
180,Bach,goldberg_variations_988_23_(c)degiusti.mid,1741,Baroque
181,Bach,goldberg_variations_988_28_(c)degiusti.mid,1741,Baroque
182,Bach,goldberg_variations_988_24_(c)degiusti.mid,1741,Baroque
183,Bach,goldberg_variations_988_25_(c)degiusti.mid,1741,Baroque
184,Bach,goldberg_variations_988_13_(c)degiusti.mid,1741,Baroque
185,Bach,goldberg_variations_988_21_(c)degiusti.mid,1741,Baroque
186,Bach,goldberg_variations_988_02_(c)degiusti.mid,1741,Baroque
187,Bach,goldberg_variations_988_26_(c)degiusti.mid,1741,Baroque
188,Bach,goldberg_variations_988_20_(c)degiusti.mid,1741,Baroque
189,Bach,goldberg_variations_988_16_(c)degiusti.mid,1741,Baroque
190,Bach,goldberg_variations_988_29_(c)degiusti.mid,1741,Baroque
191,Bach,goldberg_variations_988_14_(c)degiusti.mid,1741,Baroque
192,Bach,goldberg_variations_988_aria-da-capo_(c)degiusti.mid,1741,Baroque
193,Bach,goldberg_variations_988_30_(c)degiusti.mid,1741,Baroque
194,Bach,goldberg_variations_988_27_(c)degiusti.mid,1741,Baroque
195,Bach,goldberg_variations_988_05_(c)degiusti.mid,1741,Baroque
196,Bach,goldberg_variations_988_15_(c)degiusti.mid,1741,Baroque
197,Bach,goldberg_variations_988_03_(c)degiusti.mid,1741,Baroque
198,Bach,goldberg_variations_988_12_(c)degiusti.mid,1741,Baroque
199,Bach,goldberg_variations_988_19_(c)degiusti.mid,1741,Baroque
200,Bach,goldberg_variations_988_06_(c)degiusti.mid,1741,Baroque
201,D.Scarlatti,K295.MID,1752,Baroque
202,D.Scarlatti,K286.MID,1752,Baroque
203,D.Scarlatti,K291.MID,1752,Baroque
204,D.Scarlatti,K288.MID,1752,Baroque
205,D.Scarlatti,K280.MID,1752,Baroque
206,D.Scarlatti,K294.MID,1752,Baroque
207,D.Scarlatti,K298.MID,1752,Baroque
208,D.Scarlatti,K300.MID,1752,Baroque
209,D.Scarlatti,K289.MID,1752,Baroque
210,D.Scarlatti,K297.MID,1752,Baroque
211,D.Scarlatti,K282.MID,1752,Baroque
212,D.Scarlatti,K287.MID,1752,Baroque
213,D.Scarlatti,K299.MID,1752,Baroque
214,D.Scarlatti,K283.MID,1752,Baroque
215,D.Scarlatti,K296.MID,1752,Baroque
216,D.Scarlatti,K285.MID,1752,Baroque
217,D.Scarlatti,K293.MID,1752,Baroque
218,D.Scarlatti,K281.MID,1752,Baroque
219,D.Scarlatti,K284.MID,1752,Baroque
220,D.Scarlatti,K292.MID,1752,Baroque
221,D.Scarlatti,K290.MID,1752,Baroque
222,Haydn,sonata_XVI.5_3_(c)iscenko.mid,1763,Classical
223,Haydn,sonata_XVI.5_1_(c)iscenko.mid,1763,Classical
224,Haydn,sonata_XVI.5_2_(c)iscenko.mid,1763,Classical
225,Haydn,sonata_XVI.9_3_(c)iscenko.mid,1766,Classical
226,Haydn,sonata_XVI.9_2_(c)iscenko.mid,1766,Classical
